"winner_id","loser_id","score","set_order","best_of","surface","tourney_date","winner_age","loser_age","winner_rank","loser_rank","w_games","l_games","sets_won_winner","sets_won_loser","total_sets","row_num","N_months_since_last_match_winner","N_months_since_last_match_loser"
103970,103169,"6-1 6-2","11",3,"Hard",2008-01-07,25.7659137577,29.7440109514,5,60,12,3,2,0,2,1,12,12
103373,104586,"6-2 7-5","11",3,"Hard",2008-01-07,28.6461327858,22.4558521561,70,271,13,7,2,0,2,2,12,12
103898,104534,"6-4 7-6(3)","11",3,"Hard",2008-01-07,26.0479123888,22.7597535934,74,66,13,10,2,0,2,3,12,12
104597,104076,"6-3 6-4","11",3,"Hard",2008-01-07,22.379192334,25.2156057495,29,64,12,7,2,0,2,4,12,12
103507,105028,"6-4 6-1","11",3,"Hard",2008-01-07,27.9014373717,20.2299794661,24,170,12,5,2,0,2,5,12,12
103781,102381,"6-4 1-6 6-3","101",3,"Hard",2008-01-07,26.6283367556,33.7002053388,62,65,13,13,2,1,3,6,12,12
103454,104711,"6-4 6-2","11",3,"Hard",2008-01-07,28.2436687201,21.7686516085,80,1214,12,6,2,0,2,7,12,12
103598,103813,"7-6(3) 6-3","11",3,"Hard",2008-01-07,27.4688569473,26.4585900068,165,26,13,9,2,0,2,8,12,12
103656,104907,"6-4 6-4","11",3,"Hard",2008-01-07,27.112936345,20.7036276523,45,557,12,8,2,0,2,9,12,12
103566,102703,"6-1 6-4","11",3,"Hard",2008-01-07,27.6386036961,32.0109514031,54,46,12,5,2,0,2,10,12,12
103694,103582,"6-7(8) 6-2 6-4","011",3,"Hard",2008-01-07,26.9678302533,27.5181382615,55,52,18,13,2,1,3,11,12,12
104338,102563,"6-3 6-4","11",3,"Hard",2008-01-07,23.7754962355,32.7912388775,23,49,12,7,2,0,2,12,12,12
104259,103188,"7-5 6-2","11",3,"Hard",2008-01-07,24.2272416153,29.6865160849,31,101,13,7,2,0,2,13,12,12
